title,store,sells,price,Unnamed: 0
华为+p30,三际数码官方旗舰店,3416.0,2499.0,287.0
vivo+iqoo,三际数码官方旗舰店,3402.0,1398.0,288.0
小米+小米8,品牌机批发店,3343.0,1698.0,289.0
华为+畅享9plus,博海宇通数码专营店,3334.0,749.0,290.0
魅族+16xs,绝对诚信qq464547963,3332.0,1488.0,291.0
华为+p30,博海宇通数码专营店,3324.0,799.0,292.0
荣耀+8x,创汇通达数码旗舰店,3315.0,1099.0,293.0
纽曼+,纽曼易为理想专卖店,3311.0,68.0,294.0
华为+畅享9,苏宁易购官方旗舰店,3309.0,699.0,295.0
vivo+x27,vivo官方旗舰店,3301.0,999.0,296.0
真我+x,苏宁易购官方旗舰店,3270.0,899.0,297.0
红米+note8,三际数码官方旗舰店,3248.0,1059.0,298.0
vivo+z5x,vivo官方旗舰店,3232.0,1198.0,299.0
荣耀+v20,能良数码官方旗舰店,3212.0,999.0,300.0
华为+p30,深港通信专卖,3202.0,1988.0,301.0
华为+畅享9plus,久汇数码专营店,3190.0,738.0,302.0
华为+nova5,能良数码官方旗舰店,3184.0,749.0,303.0
vivo+x27pro,vivo衡视专卖店,3160.0,2498.0,304.0
华为+mate30,小淘器数码专营店,3146.0,1799.0,305.0
红米+note8,一朵花的记忆,3132.0,798.0,307.0
荣耀+v20,卓瓦数码专营店,3132.0,999.0,306.0
荣耀+v30,荣耀官方旗舰店,3126.0,4199.0,308.0
三星+galaxya70,三星官方旗舰店,3118.0,2099.0,309.0
红米+note7pro,三际数码官方旗舰店,3116.0,1099.0,310.0
红米+note8,三际数码官方旗舰店,3115.0,479.0,311.0
oppo+findx,oppo欧曙专卖店,3100.0,699.0,312.0
华为+p30,三际数码官方旗舰店,3088.0,3388.0,313.0
华为+mate30pro,品牌机批发店,3075.0,3238.0,314.0
荣耀+v20,蓝港数码专营店,3067.0,2199.0,315.5
荣耀+9x,chenghong301314,3061.0,969.0,317.0
华为+畅享9plus,创汇通达数码旗舰店,3061.0,798.0,318.0
oppo+r17,oppo金谷专卖店,3059.0,699.0,319.0
apple+iphone8plus,中国移动官方旗舰店,3029.0,2699.0,320.0
apple+iphone11,苏宁易购官方旗舰店,3025.0,5499.0,321.0
华为+mate30pro,赛西湖,2990.0,3284.71,322.0
小米+小米9,龙通店,2977.0,3368.0,323.0
荣耀+v20,能良数码官方旗舰店,2972.0,1099.0,324.0
魅族+16,绝对诚信qq464547963,2970.0,2699.0,325.0
oppo+findx,oppo熊鑫专卖店,2963.0,1999.0,326.0
红米+note8,能良数码官方旗舰店,2962.0,1059.0,328.0
vivo+x27pro,茂鹏数码专营店,2962.0,2498.0,327.0
oppo+a9,智宏新创数码专营店,2946.0,699.0,330.0
真我+x,realme官方旗舰店,2946.0,2599.0,329.0
荣耀+20,绝对诚信qq464547963,2945.0,1577.98,331.0
红米+note7pro,三际数码官方旗舰店,2920.0,999.0,332.0
荣耀+v20,广东电信亿品汇专卖店,2902.0,2199.0,334.0
华为+p30,三际数码官方旗舰店,2902.0,1638.0,333.0
荣耀+8x,博盛景数码专营店,2900.0,858.0,335.0
vivo+iqoo,yy_sky_2008,2899.0,2298.0,336.0
红米+k20pro,苏宁易购官方旗舰店,2893.0,2499.0,337.0
vivo+iqoo,vivo航鹰专卖店,2873.0,2498.0,338.0
华为+畅享9plus,国货平价网,2871.0,475.0,339.0
华为+畅享10plus,龙通店,2864.0,948.0,340.0
荣耀+8x,三际数码官方旗舰店,2846.0,899.0,341.0
荣耀+8x,博海宇通数码专营店,2840.0,799.0,342.0
vivo+x27,vivo智轩优品专卖店,2832.0,1298.0,343.0
oppo+r17,oppo熊鑫专卖店,2821.0,1799.0,344.0
荣耀+9x,一朵花的记忆,2820.0,899.0,345.0
oppo+r17,能良数码官方旗舰店,2809.0,699.0,346.0
apple+iphone11,三际数码官方旗舰店,2807.0,5088.0,347.0
华为+mate30,苏宁易购官方旗舰店,2799.0,3999.0,348.0
vivo+iqoo,vivo欧曙专卖店,2792.0,2498.0,349.0
vivo+x27,能良数码官方旗舰店,2775.0,1398.0,350.0
华为+nova5pro,hanjbo,2762.0,998.9,351.0
apple+iphonexr,翼天下天翼电信旗舰店,2760.0,4399.0,352.5
联想+z5,联想手机旗舰店,2759.0,998.0,354.0
小米+小米9,一朵花的记忆,2747.0,1999.0,355.0
apple+iphonexr,懒布衣,2738.0,2390.0,356.0
荣耀+v20,梅州铭鑫通讯,2733.0,899.0,357.0
apple+iphone11,苏宁易购官方旗舰店,2721.0,8699.0,359.0
apple+iphone8plus,腾飞新生活,2721.0,2400.0,358.0
华为+p30,赛西湖,2715.0,2675.32,360.5
vivo+x27,vivo衡视专卖店,2712.0,1398.0,362.0
荣耀+v20,品牌机批发店,2708.0,1197.99,363.0
中兴+bladea7,zte中兴官方旗舰店,2706.0,499.0,364.5
小米+cc9,苏宁易购官方旗舰店,2702.0,1499.0,366.0
荣耀+10,荣耀官方旗舰店,2699.0,1399.0,367.0
华为+mate30pro,e酷手机网,2687.0,3287.67,368.0
荣耀+9x,诚亨通讯,2675.0,999.0,369.0
oppo+r17pro,三际数码官方旗舰店,2674.0,2999.0,370.0
荣耀+v30,梅州铭鑫通讯,2673.0,1658.0,371.0
华为+mate20x,e酷手机网,2669.0,1597.84,372.0
真我+x,苏宁易购官方旗舰店,2647.0,948.0,373.0
华为+p30,能良数码官方旗舰店,2643.0,2699.0,374.0
vivo+iqoo,三际数码官方旗舰店,2632.0,2498.0,375.0
纽曼+,纽曼亿流专卖店,2631.0,78.0,376.0
荣耀+v20,品牌机批发店,2625.0,1647.99,377.0
荣耀+8x,博盛景数码专营店,2615.0,1099.0,379.0
荣耀+v20,能良数码官方旗舰店,2615.0,2099.0,378.0
红米+7,岸越数码专营店,2613.0,699.0,380.0
红米+k20pro,梅州铭鑫通讯,2607.0,1278.0,381.0
华为+p30,能良数码官方旗舰店,2605.0,3388.0,382.0
真我+x,苏宁易购官方旗舰店,2597.0,1299.0,383.0
荣耀+v20,能良数码官方旗舰店,2590.0,2399.0,384.0
