title,price,store,sells,location,commentcount
"""Xiaomi/小米 小米CC 9美图定制版cc9pro小仙女手机官方尊享9e""",918.0,"""heatlinda""",801人收货,广东 深圳,6861.0
"""YEPEN/誉品 M560 正品4G全网通老年机翻盖手机大屏大字大声老人手机超长待机男女款移动诺基亚学生官方旗舰店""",99.0,"""誉品旗舰店""",1029人收货,广东 深圳,571.0
"""YEPEN/誉品 M560 正品4G全网通老年机翻盖手机大屏大字大声老人手机超长待机男女款移动诺基亚学生官方旗舰店""",99.0,"""誉品旗舰店""",1092人收货,广东 深圳,611.0
"""YEPEN/誉品N2卡片直板手机超薄非智能戒网迷你超小袖珍学生男女备用儿童初中只能接打电话电信联通4G抖音同款""",118.0,"""誉品广联专卖店""",806人收货,广东 深圳,6873.0
"""[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版学生女按键直板诺基亚手机""",58.0,"""深圳易乐购数码专营店""",6000+人收货,广东 深圳,61615.0
"""[送座充] 纽曼 M6老年手机超长待机正品老人手机大屏大字大声音按键直板老人机移动电信版诺基亚功能女老年机""",148.0,"""纽曼深圳专卖店""",3439人收货,广东 深圳,11064.0
"""vivo S1Pro3200万高清自拍全面屏智能拍照手机官方旗舰店官网新款上市s1pro  s1 x27""",1698.0,"""vivo官方旗舰店""",702人收货,广东 东莞,4975.0
"""vivo X9S 全网通Y66原装正品y67面部解锁x9plus智能vivoX20手机x9""",448.0,"""馨宛阁""",612人收货,广东 广州,189.0
"""vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x""",1298.0,"""vivo官方旗舰店""",1.5万+人收货,广东 东莞,109104.0
"""vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x""",1398.0,"""vivo官方旗舰店""",9500+人收货,广东 东莞,48995.0
"""vivo iQOO Pro 5G版全网通手机vivoiqoopro iqoopro 5g iq00 iqqo""",3198.0,"""yy_sky_2008""",580人收货,广东 东莞,1662.0
"""vivo y67全网通4G手机指纹y66超薄大屏全新老年机学生新品VIVOY67""",340.1,"""镰刀斧头t""",677人收货,广东 深圳,457.0
"""vivo y67全网通手机指纹 vivoy67手机Y66手机美颜拍照VIVO Y67""",375.0,"""品骏数码商城""",575人收货,广东 深圳,234.0
"""vjvj X21S正品学生价水滴全面屏安卓指纹游戏电信全网通智能手机""",368.0,"""华信通商城""",8500+人收货,广东 深圳,6438.0
"""【1.6-1.10享24期免息】HUAWEI/华为Mate30 全网通4G智能手机麒麟990徕卡拍照手机旗舰新品官方正品""",3999.0,"""苏宁易购官方旗舰店""",1082人收货,江苏 南京,2799.0
"""【1.6-1.10享24期免息】HUAWEI/华为Mate30 全网通4G智能手机麒麟990徕卡拍照手机旗舰新品官方正品""",4299.0,"""苏宁易购官方旗舰店""",1049人收货,江苏 南京,2778.0
"""【1.6日下单立省100丨3期免息】Meitu/美图T9美少女战士限量版T9樱桃小丸子T9哆啦A梦T9幻彩版手机""",1299.0,"""美图旗舰店""",576人收货,福建 厦门,5285.0
