title,type,Unnamed: 0,sells,price
oppo+renoz,官方标配,624.0,3195,2199.0
vivo+u3x,全网通,416.0,3176,887.89
华为+p30,8G+128G,1966.4,3171,3386.48
华为+nova5pro,8G+128G （12期免息）,421.0,3127,2519.0
荣耀+v20,(8+128G)全网通 碎屏险套餐,422.0,3125,2402.33
apple+iphone8,64G全网通,1346.6,3098,2233.0
华为+畅享10plus,全网通+免费碎屏险（6G+128G）,424.0,3091,1691.5
oppo+findx,8GB+128GB,2045.0,3087,4080.67
三星+galaxya70,8GB+128GB,425.0,3031,2799.0
小米+小米8,6G+128G,687.5,3008,1676.58
vivo+z5x,6GB 128GB,632.5,3000,1403.0
荣耀+magic2,全网通 8G+128G,711.5,2978,2109.0
apple+iphonexs,全网通 64G,627.0,2976,4228.92
华为+p30,8G+256G赠华为无线充+蓝牙音箱,429.0,2973,4983.71
荣耀+9x,6G+128G 送原装耳机.碎屏险,432.0,2910,1599.0
小米+小米9,全网通8G+256G,1311.33,2895,3047.23
小米+cc9,全网通6G+128G,1866.6,2875,1799.1
华为+畅享9,6+64G 全网通,434.0,2871,1152.33
小米+小米8,6GB+64GB,1959.2,2868,1184.7
华为+畅享9,4+64G全网通,435.0,2867,839.0
荣耀+9x,6G+64G 送原装耳机,646.5,2861,1349.0
华为+mate30pro,全网通（8+256G）0首付12期免息,437.0,2809,6967.33
红米+note8,8G+128G 全网通,438.0,2797,1444.67
华为+mate30pro,全网通(8G+256G),439.0,2795,6932.33
华为+畅享10plus,6GB+128GB全网通（白条分期免息0首付）,440.0,2772,1699.0
apple+iphonexr,全网通128G,441.0,2765,5189.83
红米+note8,全网通6+128,442.0,2760,1356.0
华为+畅享9,（4G+64G）,788.0,2758,867.75
apple+iphone11,全网通 (64GB),446.0,2748,5153.0
小米+小米8,全网通(6G+64G),1032.0,2744,1159.08
vivo+z5x,6GB 64GB,667.0,2725,1303.0
vivo+iqoo,8GB 256GB,2201.33,2722,3093.83
小米+小米8,6GB+128GB,2054.33,2700,1384.09
apple+iphone8,64G 全网通4G,1161.0,2696,1932.62
华为+畅享9plus,4+128G 全网通,449.0,2687,1109.0
华为+nova4,6G+128G,450.0,2670,1291.67
中兴+axon10pro,6GB+128GB,451.0,2662,3199.0
apple+iphonex,256G,1972.0,2654,4078.79
华为+nova4,6G+128G 2000万超广角三摄,452.0,2654,2198.5
华为+nova4,4800万超广角三摄 (8G+128G),455.0,2628,2115.5
华为+畅享9plus,全网通(4+128G),1349.0,2616,1138.17
oppo+a5,(4G+64G)全网通,457.0,2612,1199.0
oppo+a5,3+32G 全网通,458.0,2603,395.0
荣耀+20,8G+256G全网通咨询赠一年影视会员观影权益,459.0,2596,2209.8
努比亚+x,8GB+256GB,2193.5,2588,2535.66
真我+x,12GB+256GB,461.0,2571,3299.0
红米+7a,全网通2G+32G,693.0,2534,515.0
apple+iphone11promax,全网通64G,2652.25,2520,8944.38
华为+mate20pro,6G+128G,982.5,2512,4224.0
oppo+reno,标准套餐,467.0,2508,3092.33
荣耀+10,全网通版（6GB+128GB）,469.0,2503,1199.0
oppo+k5,标配(原装耳机),470.0,2502,2049.0
华为+畅享10plus,全网通+咨询下单有优惠（4G+128G）,471.0,2494,1436.5
华为+nova5pro,8G+128G,1843.33,2467,2168.5
红米+note8,全网通4G+64G,474.0,2467,899.0
apple+iphonex,64G,1746.33,2430,3658.5
华为+mate20,全网通 6G+64G（仅需2299到手）,479.0,2428,2699.0
荣耀+9x,4G+64G全网通咨询赠一年影视会员观影权益,483.0,2402,1099.8
华为+畅享10plus,全网通4G(4GB+128GB),484.0,2397,1399.0
荣耀+9x,全网通(6+64G),724.0,2383,1299.0
