,title,store,type,sells,price
113,['华为（HUAWEI） 荣耀畅玩8c 全面屏智能老年老人 '],['京铠玄手机旗舰店'],全网通（4G+32G）,2827,771.5
114,['荣耀play3'],['疆界互联旗舰店'],4GB+64GB全网通咨询赠一年影视会员观影权益,2776,794.6
115,['【二手9成新】【白条6期免息】OPPO R9 安卓'],['唯尔优品二手商品专营店'],4G+64G 全网通,2770,560.5
116,['vivo\xa0NEX 3\xa05G 深空流光 8GB+256GB\xa0无界瀑布屏\xa0高通骁龙855Plus\xa06400万三摄 5G智慧旗舰新品'],['vivo京东自营官方旗舰店'],8GB+128GB,2764,4498.0
117,['联想Z6 青春版 6GB+128GB 幻彩星尘 骁龙710 4050mAh续航 双频北斗高精度定位 后置AI三摄 全网通4G 双卡双待'],['联想手机京东自营官方旗舰店'],6GB+128GB,2756,1249.0
118,['华为（HUAWEI） Mate10 全面屏 '],['掌视界数码旗舰店'],移动全网通(6G+128G),2727,3234.0
119,['【二手9成新】Apple iPhone 6s Plus苹果6s plus 二手'],['泰业优品二手手机旗舰店'],32G 全网通,2719,1062.5
120,['【二手9成新】苹果7Plus'],['好机汇二手商品专营店'],32G 全网通,2688,1605.5
121,['【二手9成新】Apple iphone 6 苹果6 二手'],['马上优品二手商品旗舰店'],64G 全网通,2669,767.0
122,['【二手9成新】苹果6Plus'],['翱行二手商品专营店'],64G 全网通,2660,971.33
123,['荣耀 畅玩8C '],['优爱特手机专营店'],全网通 4GB+32GB,2653,746.6
124,['【二手9成新】苹果6 Apple iPhone6 二手'],['扬帆二手商品专营店'],32G全网通,2592,714.67
125,['【二手9成新】Apple  iPhone 6s 苹果6s 二手'],['泰业优品二手手机旗舰店'],16G 全网通,2591,736.0
126,['【二手9成新】 【白条6期免息】vivo X7  二手智能拍照'],['唯尔优品二手商品专营店'],4G+64G 全网通,2584,522.0
127,['三星 SAMSUNG Galaxy Fold 折叠屏 量子黑 12GB+512GB'],['三星手机京东自营官方旗舰店'],标准版,2579,15999.0
128,['ROG游戏'],['ROG京东自营官方旗舰店'],12GB+512GB,2568,6193.5
129,['荣耀8C 畅玩8C'],['新松联手机旗舰店'],4G+64G 高配版,2534,862.6
130,['海信(Hisense)  阅读'],['海信手机京东自营旗舰店'],6GB+128GB,2491,2799.0
131,['华为（HUAWEI）华为P20 Pro 全网通4G  全面屏智能游戏'],['华信通手机专营店'],6GB+128GB,2490,2850.5
132,['荣耀畅玩8C 华为'],['佳沪手机旗舰店'],全网通4G+32G,2484,748.4
133,['联想Z6 6GB+128GB 蓝色 骁龙730 AIE处理器 4000mAh续航  屏幕光电指纹 后置三摄 全网通4G 双卡双待'],['联想手机京东自营官方旗舰店'],6GB+64GB,2471,1299.0
134,['华为畅享max '],['同达丰手机旗舰店'],全网通6G+128G,2434,1182.33
135,['【二手9成新】苹果6sPlus'],['翱行二手商品专营店'],64G 全网通,2431,1173.0
136,['【超级爆款】华为（HUAWEI）畅享Max 9重保障全面屏大屏游戏'],['华信通手机专营店'],全网通(4GB+128GB),2420,1210.67
137,['魅族（MEIZU） 魅族M15 '],['牧申手机旗舰店'],全网通（4+64G）,2411,1192.33
