title,store,Unnamed: 0,sells,price
oppo+k5,['OPPO优品专卖店'],640.0,3801,2095.88
apple+iphonexsmax,['马上优品二手商品旗舰店'],1588.17,3778,5199.53
apple+iphonexr,['鹏瑶旗舰店'],2024.83,3734,5051.5
华为+mate20,['福气多多手机旗舰店'],1909.0,3712,2947.75
apple+iphone11promax,['炜东电商旗舰店'],1478.33,3702,10369.67
华为+mate30,['同达丰手机旗舰店'],1426.0,3676,5102.67
oppo+k3,['OPPO墨白专卖店'],574.0,3637,1763.28
apple+iphonexr,['疆界互联旗舰店'],1629.0,3631,4928.33
华为+mate30,['福气多多手机旗舰店'],1236.67,3599,4996.5
apple+iphone7,['海之博优品二手商品专营店'],1724.83,3577,1831.5
荣耀+9x,['炜东电商旗舰店'],1359.0,3561,1549.0
vivo+u3x,['vivo兰珊专卖店'],853.0,3560,943.44
apple+iphone7,['万城优品二手手机专营店'],1634.83,3559,1410.11
红米+k20pro,['明日数码旗舰店'],2026.0,3527,2491.75
apple+iphone8plus,['泰业优品二手手机旗舰店'],2072.71,3518,3064.29
红米+7a,['伟德手机专营店'],879.5,3513,517.25
apple+iphone8plus,['鸿兴优品二手手机专营店'],3086.4,3482,3401.92
华为+nova5pro,['福气多多手机旗舰店'],1623.0,3468,2699.0
华为+畅享9,['欧霖爵手机旗舰店'],2569.88,3422,1055.88
红米+note7pro,['明日数码旗舰店'],1140.0,3403,1057.62
oppo+k5,['头号卖家旗舰店'],658.0,3397,2099.0
apple+iphonex,['可多优品二手手机专营店'],1280.5,3388,3722.71
华为+nova5,['千瑞达手机旗舰店'],1697.83,3387,2254.56
apple+iphonex,['鸿兴优品二手手机专营店'],3174.3,3378,4243.7
小米+小米9,['佳沪手机旗舰店'],1350.33,3368,4059.67
vivo+iqoo,['vivo智美专卖店'],1730.56,3365,2866.36
oppo+findx,['闲至优品二手手机旗舰店'],2751.5,3357,4887.33
荣耀+10,['福气多多手机旗舰店'],584.0,3340,2249.0
华为+畅享9plus,['千瑞达手机旗舰店'],1389.5,3302,1115.75
华为+畅享10plus,['掌视界数码旗舰店'],835.0,3244,1674.0
apple+iphone8,['万城优品二手手机专营店'],2139.5,3230,2271.5
华为+nova4,['疆界互联旗舰店'],1261.33,3208,2733.75
apple+iphonexs,['马上优品二手商品旗舰店'],2191.83,3144,4611.44
荣耀+v20,['炜东电商旗舰店'],1894.5,3140,2047.16
华为+nova4,['茄子手机旗舰店'],895.5,3019,1226.5
apple+iphone7,['同城帮二手商品专营店'],1513.57,3006,1562.0
apple+iphone11,['牧申手机旗舰店'],1787.33,3004,5939.22
华为+畅享9plus,['众盛手机专营店'],1800.2,2992,1212.5
小米+小米8,['聚捷联盛手机旗舰店'],1466.25,2947,1314.0
apple+iphone8,['同城帮二手商品专营店'],1933.25,2936,2218.75
华为+nova5pro,['OKSJ手机旗舰店'],760.5,2909,2699.0
apple+iphone11promax,['茄子手机旗舰店'],2009.75,2892,10443.62
华为+畅享9,['茄子手机旗舰店'],1402.5,2889,940.88
apple+iphonexr,['发动机优品二手手机专营店'],2476.11,2886,3840.87
荣耀+v20,['新松联手机旗舰店'],735.5,2880,1825.0
荣耀+8x,['新松联手机旗舰店'],997.67,2867,1085.6
华为+mate30pro,['佳沪手机旗舰店'],1863.67,2860,6993.44
魅族+x8,['佳沪手机旗舰店'],902.33,2859,1131.22
apple+iphone8plus,['扬帆二手商品专营店'],946.0,2844,2914.62
荣耀+10,['新松联手机旗舰店'],1974.0,2832,1034.83
华为+p30,['新松联手机旗舰店'],1793.29,2822,4273.71
apple+iphone11promax,['中国移动手机官方旗舰店'],1948.33,2784,11267.5
荣耀+20,['掌视界数码旗舰店'],1384.25,2739,1997.75
