,store,commentcount,location,count
232,"""苏宁易购官方旗舰店""",7131.0,江苏 南京,1
233,"""龙通店""",8517.0,广东 深圳,1
234,"""诚诚手机通讯""",489.0,广东 深圳,1
235,"""国货平价网""",6453.0,广东 深圳,1
236,"""tb702698251""",451.0,广东 深圳,1
237,"""红红豆豆200988""",2239.0,广东 深圳,1
238,"""关爱心弗瑞尔专卖店""",646.0,广东 深圳,1
239,"""一加创华威专卖店""",6095.0,广东 深圳,1
240,"""苏宁易购官方旗舰店""",4215.0,江苏 南京,1
241,"""爱上好好888""",56.0,广东 深圳,1
242,"""蓝港数码专营店""",4725.0,广东 深圳,1
243,"""vivo衡视专卖店""",3160.0,上海,1
244,"""首佳誉数码专营店""",4380.0,广东 东莞,1
245,"""heatlinda""",7696.0,广东 深圳,1
246,"""坚果手机旗舰店""",1697.0,广东 深圳,1
247,"""新平通讯""",2192.0,广东 深圳,1
248,"""yunlfang""",954.0,上海,1
249,"""博盛景数码专营店""",2615.0,广东 深圳,1
250,"""硕王益家专卖店""",2010.0,广东 深圳,1
251,"""荣耀官方旗舰店""",11033.0,广东 深圳,1
252,"""纽曼易为理想专卖店""",3311.0,广东 深圳,1
253,"""爱上一个少年""",783.0,广东 深圳,1
254,"""绝对诚信qq464547963""",399.0,广东 深圳,1
255,"""oppo官方旗舰店""",6549.0,广东 东莞,1
256,"""蒙奇数码专营店""",4102.0,广东 深圳,1
257,"""oppo官方旗舰店""",760.0,广东 东莞,1
258,"""国货平价网""",4025.0,广东 深圳,1
259,"""卓瓦数码专营店""",724.0,上海,1
260,"""中国网络电子商城""",650.0,广东 深圳,1
261,"""慕尚年华数码专营店""",7180.0,广东 深圳,1
262,"""港行先锋数码专营店""",2724.0,广东 深圳,1
263,"""誉品旗舰店""",611.0,广东 深圳,1
264,"""苏宁易购官方旗舰店""",2799.0,江苏 南京,1
265,"""博海宇通数码专营店""",799.0,广东 深圳,1
266,"""博科雅创数码专营店""",981.0,广东 深圳,1
267,"""oksj数码旗舰店""",1059.0,广东 深圳,1
268,"""一加创华威专卖店""",1703.0,广东 深圳,1
269,"""点点云购数码专营店""",1100.0,广东 深圳,1
270,"""久汇数码专营店""",2012.0,广东 深圳,1
271,"""69铺小a""",2348.0,广东 深圳,1
272,"""sayhay自营店""",903.0,上海,1
273,"""纯林伟业数码专营店""",3522.0,广东 深圳,1
274,"""爱上一个少年""",470.0,广东 深圳,1
275,"""广东电信亿品汇专卖店""",2310.0,广东 深圳,1
276,"""oppo平实专卖店""",2341.0,广东 广州,1
277,"""小米官方旗舰店""",1887.0,北京,1
278,"""品牌机批发店""",2227.0,广东 深圳,1
279,"""三际数码官方旗舰店""",2293.0,山东 济南,1
280,"""付爱萍1""",587.0,广东 深圳,1
281,"""广东电信亿品汇专卖店""",1106.0,广东 深圳,1
282,"""songhaozhen""",3775.0,广东 深圳,1
283,"""蓝港数码专营店""",7234.0,广东 深圳,1
284,"""宸欣数码专营店""",2678.0,广东 深圳,1
285,"""优机汇数码专营店""",1712.0,广东 深圳,1
286,"""佳佳购数码专营店""",2029.0,广东 深圳,1
287,"""朵儿妈的生活""",1417.0,广东 深圳,1
288,"""三际数码官方旗舰店""",946.0,山东 济南,1
289,"""三星官方旗舰店""",1914.0,北京,1
290,"""蓝港数码专营店""",3475.0,广东 深圳,1
291,"""赫尔曼数码专营店""",938.0,广东 深圳,1
292,"""白开水的点燃方式""",6295.0,河南 郑州,1
293,"""蓝港数码专营店""",901.0,广东 深圳,1
294,"""爱富商城""",262.0,上海,1
295,"""巨利泰数码专营店""",2160.0,广东 深圳,1
296,"""oppo欧曙专卖店""",2409.0,上海,1
297,"""vivo天诚专卖店""",2587.0,广东 东莞,1
298,"""同迅数码专营店""",2547.0,辽宁 大连,1
299,"""龙通店""",8009.0,广东 深圳,1
300,"""品牌机批发店""",7597.0,广东 深圳,1
301,"""美图旅之丰专卖店""",2110.0,广东 深圳,1
302,"""三际数码官方旗舰店""",3116.0,山东 济南,1
303,"""美图旗舰店""",20123.0,福建 厦门,1
304,"""苏宁易购官方旗舰店""",16778.0,江苏 南京,1
305,"""vivo官方旗舰店""",3894.0,广东 东莞,1
306,"""佳佳购数码专营店""",654.0,广东 深圳,1
307,"""oppo欧曙专卖店""",2223.0,上海,1
308,"""丰达电子通讯城""",816.0,广东 深圳,1
309,"""小米官方旗舰店""",11455.0,北京,1
310,"""浩瑜数码专营店""",1525.0,广东 深圳,1
311,"""三际数码官方旗舰店""",2532.0,山东 济南,1
312,"""洋桃旗舰店""",401.0,浙江 杭州,1
313,"""同步飞扬数码专营店""",6216.0,广东 深圳,1
314,"""万诚春数码专营店""",660.0,广东 深圳,1
315,"""国货平价网""",6420.0,广东 深圳,1
316,"""阿兰贝尔数码专营店""",10113.0,广东 深圳,1
317,"""纽曼幸福专卖店""",3591.0,广东 深圳,1
318,"""三际数码官方旗舰店""",365.0,山东 济南,1
319,"""守护宝大秦先锋专卖店""",421.0,广东 深圳,1
320,"""魅族官方旗舰店""",17388.0,广东 珠海,1
321,"""拓展通讯""",894.0,广东 深圳,1
322,"""heatlinda""",4541.0,广东 深圳,1
323,"""cjnlmn""",392.0,广东 深圳,1
324,"""龙飞凤舞迎新春""",2262.0,广东 深圳,1
325,"""能良数码官方旗舰店""",2574.0,上海,1
326,"""魅族官方旗舰店""",14718.0,广东 珠海,1
327,"""vivo官方旗舰店""",29370.0,广东 东莞,1
328,"""90后梦想店铺""",185.0,广东 深圳,1
329,"""苏宁易购官方旗舰店""",12366.0,江苏 南京,1
330,"""苏宁易购官方旗舰店""",5237.0,江苏 南京,1
331,"""三际数码官方旗舰店""",1292.0,山东 济南,1
332,"""小萝卜通讯""",4483.0,上海,1
333,"""tb7002500_2011""",1841.0,上海,1
334,"""绝对诚信qq464547963""",2513.0,广东 深圳,1
335,"""明辉手机2011""",1144.0,广东 深圳,1
336,"""百度网盘旗舰店""",8686.0,北京,1
337,"""wezebaba""",2267.0,广东 深圳,1
338,"""oppo官方旗舰店""",259.0,广东 东莞,1
339,"""深圳海创利华数码专营店""",1034.0,广东 深圳,1
340,"""蓝港数码专营店""",2474.0,广东 深圳,1
341,"""苏宁易购官方旗舰店""",4742.0,江苏 南京,1
342,"""苏宁易购官方旗舰店""",35417.0,江苏 南京,1
343,"""广东电信亿品汇专卖店""",678.0,广东 深圳,1
344,"""纯林伟业数码专营店""",1331.0,广东 深圳,1
345,"""久汇数码专营店""",1338.0,广东 深圳,1
346,"""苏宁易购官方旗舰店""",390.0,江苏 南京,1
347,"""heatlinda""",1137.0,广东 深圳,1
348,"""69铺小a""",563.0,广东 深圳,1
349,"""龙通店""",3747.0,广东 深圳,1
350,"""朵唯官方旗舰店""",652.0,广东 深圳,1
351,"""砍头数码""",4122.0,广东 深圳,1
352,"""品牌机批发店""",10846.0,广东 深圳,1
353,"""阿滨eason""",699.0,广东 深圳,1
354,"""京联通达数码旗舰店""",4139.0,北京,1
355,"""龙通店""",9511.0,广东 深圳,1
356,"""大爱百货专售""",5886.0,江苏 常州,1
357,"""誉品广联专卖店""",6873.0,广东 深圳,1
358,"""苏宁易购官方旗舰店""",4580.0,江苏 南京,1
359,"""heatlinda""",6861.0,广东 深圳,1
360,"""洋桃旗舰店""",331.0,浙江 杭州,1
361,"""苏宁易购官方旗舰店""",379.0,江苏 南京,1
362,"""领域数码通讯""",1213.0,广东 深圳,1
363,"""wezebaba""",872.0,广东 深圳,1
364,"""浩瑜数码专营店""",358.0,广东 深圳,1
365,"""ysdee9""",1508.0,广东 深圳,1
366,"""华强北品牌数码""",2073.0,广东 深圳,1
367,"""oppo熊鑫专卖店""",2963.0,上海,1
368,"""潮流3号线""",262.0,广东 深圳,1
369,"""深圳一航""",2109.0,广东 深圳,1
370,"""三际数码官方旗舰店""",3872.0,山东 济南,1
371,"""能良数码官方旗舰店""",295.0,上海,1
372,"""苏宁易购官方旗舰店""",3733.0,江苏 南京,1
373,"""能良数码官方旗舰店""",6573.0,上海,1
374,"""三星官方旗舰店""",5837.0,北京,1
375,"""oppo金谷专卖店""",1895.0,广东 深圳,1
376,"""博海宇通数码专营店""",862.0,北京,1
377,"""智宏新创数码专营店""",381.0,北京,1
378,"""皓轩赛罗敷专卖店""",543.0,广东 深圳,1
379,"""小淘器数码专营店""",742.0,安徽 合肥,1
380,"""中国移动官方旗舰店""",2435.0,浙江 杭州,1
381,"""苏宁易购官方旗舰店""",18961.0,江苏 南京,1
382,"""时创达通讯""",7028.0,广东 深圳,1
383,"""许允斯xys""",243.0,广东 深圳,1
384,"""梅州铭鑫通讯""",889.0,广东 深圳,1
385,"""同步飞扬数码专营店""",1453.0,广东 深圳,1
386,"""华为官方旗舰店""",66105.0,广东 深圳,1
387,"""七分钟年华不老""",1909.0,江苏 南京,1
388,"""小米官方旗舰店""",1545.0,北京,1
389,"""纯林伟业数码专营店""",354.0,广东 深圳,1
390,"""同步飞扬数码专营店""",6926.0,广东 深圳,1
391,"""乐哇数码专营店""",639.0,上海,1
392,"""长令科技""",4980.0,广东 深圳,1
393,"""三际数码官方旗舰店""",2674.0,山东 济南,1
394,"""苏宁易购官方旗舰店""",234144.0,江苏 南京,1
395,"""柔情沫殇""",434.0,广东 深圳,1
396,"""柔情沫殇""",434.0,广东 深圳,1
397,"""紫向日葵""",5167.0,北京,1
398,"""维亮灯饰""",219.0,浙江 杭州,1
399,"""和来达数码专营店""",542.0,广东 深圳,1
400,"""chen_xuanbin""",1427.0,广东 深圳,1
401,"""vivo官方旗舰店""",4975.0,广东 东莞,1
402,"""尼凯恩旗舰店""",220.0,广东 深圳,1
403,"""武汉电信旗舰""",559.0,湖北 武汉,1
404,"""苏宁易购官方旗舰店""",841.0,江苏 南京,1
405,"""广东电信亿品汇专卖店""",265.0,广东 深圳,1
406,"""小米官方旗舰店""",986.0,北京,1
407,"""鼎峰数码专营店""",1801.0,广东 深圳,1
408,"""绝对诚信qq464547963""",1089.0,广东 深圳,1
409,"""ttlg1999""",218.0,上海,1
410,"""yuzunyi0423""",1996.0,北京,1
411,"""龙通店""",2864.0,广东 深圳,1
412,"""vivo曼尼金专卖店""",5188.0,江苏 南京,1
413,"""三际数码官方旗舰店""",2360.0,山东 济南,1
414,"""镰刀斧头t""",457.0,广东 深圳,1
415,"""京合旗舰店""",785.0,安徽 合肥,1
416,"""深港通信专卖""",13225.0,广东 深圳,1
417,"""三际数码官方旗舰店""",10417.0,山东 济南,1
418,"""华为官方旗舰店""",7039.0,广东 深圳,1
419,"""苏宁易购官方旗舰店""",259.0,江苏 南京,1
420,"""光头先僧""",1363.0,广东 深圳,1
421,"""oksj数码旗舰店""",1439.0,广东 深圳,1
422,"""晨曦爱森林浴""",232.0,上海,1
423,"""oppo官方旗舰店""",400.0,广东 东莞,1
424,"""炜广天成数码专营店""",1847.0,广东 深圳,1
425,"""苏苏通讯""",1763.0,广东 深圳,1
426,"""华为官方旗舰店""",142201.0,广东 深圳,1
427,"""雅岛服饰""",251.0,广东 深圳,1
428,"""中国移动官方旗舰店""",1038.0,浙江 杭州,1
429,"""索品数码专营店""",13932.0,广东 深圳,1
430,"""天语强宇专卖店""",1377.0,广西 桂林,1
431,"""福禄网游数卡专营店""",493.0,湖北 武汉,1
432,"""三际数码官方旗舰店""",510.0,山东 济南,1
433,"""绿森数码官方旗舰店""",396.0,浙江 杭州,1
434,"""魅立数码专营店""",247.0,广东 深圳,1
435,"""深港通信专卖""",1552.0,广东 深圳,1
436,"""苏宁易购官方旗舰店""",1569.0,江苏 南京,1
437,"""wezebaba""",2552.0,广东 深圳,1
438,"""京合旗舰店""",815.0,安徽 合肥,1
439,"""巨利泰数码专营店""",1692.0,广东 深圳,1
440,"""苏宁易购官方旗舰店""",2597.0,江苏 南京,1
441,"""篮淋海""",192.0,广东 深圳,1
442,"""小辣椒缔盟专卖店""",562.0,广东 深圳,1
443,"""华为官方旗舰店""",6941.0,广东 深圳,1
444,"""佳惠兴通数码专营店""",5375.0,广东 深圳,1
445,"""三际数码官方旗舰店""",3402.0,山东 济南,1
446,"""专业灯光设备""",2213.0,上海,1
447,"""oppo聚洪欧珀专卖店""",1495.0,湖北 武汉,1
448,"""广东电信亿品汇专卖店""",546.0,广东 深圳,1
449,"""热图数码专营店""",2451.0,广东 深圳,1
450,"""三际数码官方旗舰店""",17295.0,山东 济南,1
451,"""春江哥""",2405.0,四川 成都,1
452,"""小米官方旗舰店""",1913.0,北京,1
453,"""馨宛阁""",189.0,广东 广州,1
454,"""三际数码官方旗舰店""",5325.0,山东 济南,1
455,"""赛尔丰数码专营店""",200.0,广东 深圳,1
456,"""苏宁易购官方旗舰店""",432.0,江苏 南京,1
457,"""同步飞扬数码专营店""",6124.0,广东 深圳,1
458,"""品牌机批发店""",10312.0,广东 深圳,1
459,"""硕王鑫基汇专卖店""",821.0,广东 深圳,1
460,"""q9634137280""",123.0,广东 深圳,1
461,"""小辣椒搜客专卖店""",585.0,广东 深圳,1
462,"""优机汇数码专营店""",354.0,广东 深圳,1
463,"""随风飞扬y""",2437.0,广东 深圳,1
464,"""锦万数码专营""",489.0,广东 深圳,1
465,"""鲁信数码科技公司""",933.0,河南 郑州,1
466,"""荣耀官方旗舰店""",1286.0,广东 深圳,1
467,"""同步飞扬数码专营店""",1033.0,广东 深圳,1
468,"""皓轩天纵汇专卖店""",1357.0,广东 深圳,1
469,"""亦儿手机店""",292.0,广东 深圳,1
470,"""蓝港数码专营店""",799.0,广东 深圳,1
471,"""白开水的点燃方式""",1380.0,河南 郑州,1
472,"""yy_sky_2008""",1662.0,广东 东莞,1
473,"""zhuxiaoming1113""",1572.0,天津,1
474,"""深圳一航""",3789.0,广东 深圳,1
475,"""映映萍萍""",569.0,广东 广州,1
476,"""三际数码官方旗舰店""",3416.0,山东 济南,1
477,"""美图旗舰店""",5285.0,福建 厦门,1
478,"""品骏数码商城""",234.0,广东 深圳,1
479,"""赛西湖""",2990.0,浙江 杭州,1
480,"""华强科技1688""",400.0,广东 深圳,1
481,"""中宽通讯行""",1520.0,广东 深圳,1
482,"""龙通店""",923.0,广东 深圳,1
483,"""一米阳光通讯城""",358.0,广东 深圳,1
