,title,store,type,sells,price
218,荣耀+8x,['荣耀京东自营旗舰店'],2400万像素全网通（6GB 64GB）,12690,1599.0
219,apple+iphonexs,['佳沪手机旗舰店'],全网通 64GB,12626,5358.0
220,飞利浦+e517,['飞利浦手机京东自营旗舰店'],E517,12505,299.0
221,真我+x,['realme真我京东自营旗舰店'],8GB+128GB,12376,2899.0
222,apple+iphone11promax,['Apple产品京东自营旗舰店'],512GB,12254,13321.67
223,荣耀+20,['荣耀京东自营旗舰店'],全网通（6GB 64GB）,12179,1299.0
224,apple+iphone11,['佳沪手机旗舰店'],全网通 64GB,11949,5173.0
225,vivo+z5x,['vivo京东自营官方旗舰店'],4GB+64GB,11774,1298.0
226,vivo+iqoo,['vivo官方旗舰店'],6GB  128GB,11745,2098.0
227,黑鲨+,['黑鲨京东自营官方旗舰店'],12GB+256GB,11648,3129.0
228,vivo+iqoo,['vivo官方旗舰店'],6GB 128GB,11621,1898.0
229,华为+p30,['福气多多手机旗舰店'],全网通8G+128G【华为官方直供】,11578,3688.0
230,oppo+reno10,['OPPO京东自营官方旗舰店'],8GB+256GB,11483,4314.0
231,华为+mate20pro,['疆界互联旗舰店'],8G+128G（UD版）,11389,4597.33
232,华为+p30,['福气多多手机旗舰店'],全网通8G+128G【 华为官方直供】,11272,4484.0
233,oppo+a5,['OPPO手机乐良专卖店'],全网通,11249,924.0
234,vivo+iqoo,['vivo京东自营官方旗舰店'],8GB+128GB,11225,2298.0
235,apple+iphone7,['佳沪手机旗舰店'],全网通 32GB,11213,3599.0
236,vivo+u3x,['vivo官方旗舰店'],4GB 64GB,11117,899.0
237,华为+nova5,['华为京东自营官方旗舰店'],8GB+256GB,11048,2799.0
238,华为+p30,['掌视界数码旗舰店'],全网通(8G+128G),10970,3682.0
239,中兴+bladea7,['中兴京东自营官方旗舰店'],2GB+32GB,10930,498.0
240,荣耀+20i,['京铠玄手机旗舰店'],6+64G 全网通,10807,996.07
241,apple+iphone7,['扬帆二手商品专营店'],128G,10696,1811.17
242,红米+7,['伟德手机专营店'],4GB+64GB,10610,773.0
243,小米+cc9,['小米京东自营旗舰店'],8GB+256GB,10473,1999.0
244,红米+7,['小米京东自营旗舰店'],8GB+128GB,10366,1899.0
245,黑鲨+,['黑鲨京东自营官方旗舰店'],6GB+128GB,10362,2429.0
246,华为+nova4,['京铠玄手机旗舰店'],6G+128G 全网通,10351,1465.33
247,真我+x,['realme真我京东自营旗舰店'],4GB+64GB,10222,1099.0
248,荣耀+10,['掌视界数码旗舰店'],全网通(6G+128G),9791,1232.33
249,apple+iphonexr,['佳沪手机旗舰店'],全网通 128GB,9758,4789.67
250,oppo+k3,['OPPO酷炫手机专卖店'],官方标配,9722,1649.0
251,魅族+16xs,['魅族京东自营旗舰店'],全网通（6GB 128GB）,9543,1699.0
252,vivo+z3,['vivo官方旗舰店'],4GB 128GB,9468,1081.33
253,oppo+renoz,['OPPO京东自营官方旗舰店'],6GB+256GB,9402,2273.29
254,华为+nova5pro,['炜东电商旗舰店'],8GB+128GB全网通（碎屏险套餐）,9295,2499.0
255,红米+7,['明日数码旗舰店'],4G+64G 全网通,9275,769.0
256,apple+iphone11,['同达丰手机旗舰店'],全网通 128GB,9232,5669.67
257,荣耀+8x,['掌视界数码旗舰店'],全网通（6G+128G）,9194,1486.5
258,荣耀+10,['荣耀京东自营旗舰店'],全网通（8GB 128GB）,9143,2099.0
259,魅族+16,['魅族京东自营旗舰店'],16th（6GB+128GB）,9131,1698.0
260,荣耀+8x,['荣耀京东自营旗舰店'],2400万像素全网通（6GB 128GB）,8886,1699.0
261,努比亚+红魔,['努比亚京东自营旗舰店'],6GB+64GB,8840,1899.0
262,apple+iphone11,['同达丰手机旗舰店'],全网通 64GB,8832,5149.67
263,vivo+x27,['vivo官方旗舰店'],8GB+128GB,8758,2498.0
264,vivo+iqoo,['vivo京东自营官方旗舰店'],8GB+256GB,8707,2998.0
265,华为+nova5pro,['久汇通官方旗舰店'],全网通（8G+128G）,8660,2499.0
